contract_id,order,section_title,section_id,text,source,confidence
CONDITIONS OF CONTRACT,11,No Liability for Special Risks 138,,"Special Risks	138
Damage to Works by Special Risks	138
Projectile, Missile	138
Increased Costs Arising from Special Risks	139
Outbreak of War and Termination	139
Removal of Contractor’s Equipment on Termination	139",docx,0.448
CONDITIONS OF CONTRACT,12,Payment if Contract is Terminated 140,,"Termination of Contract for Employer’s Convenience	141
Termination Resulting form Contractor’s Default	143
Release from Performance",docx,0.525
CONDITIONS OF CONTRACT,13,Payment in Event of Release from Performance 144,,"Settlement of Disputes
Engineer’s Decision	145
Amicable Settlement	146
Conciliation	146",docx,0.456
CONDITIONS OF CONTRACT,14,Arbitration 147,s_12_arbitration,"Failure to Comply with the	Engineer’s Decision	147
Law and Procedures	147
Notices
Notice to Contractor	148
Notice to Employer and Engineer	148
Change of Address	148
Default of Employer
Default of Employer	149
Removal of Contractor’s	Equipment	149",docx,0.846
CONDITIONS OF CONTRACT,15,Payment on Termination 149,,"Contractor’s Entitlement	to Suspend Work	149
Resumption of Work	150
Changes in Cost and Legislation
Increase or Decrease of Cost	151
Subsequent Legislation	151
Joint Venture
Joint Venture	152",docx,0.612
CONDITIONS OF CONTRACT,16,Joint and Several Liability 152,,Authority of Member in Charge	152,docx,0.500
CONDITIONS OF CONTRACT,17,Miscellaneous,,Index,docx,0.476
CONDITIONS OF CONTRACT,18,"The following words, terms and expressions, whenever used in this Contract, as defined hereunder, shall have the meaning assigned to them, except where the context otherwise requires:",,"(a) Persons
“Employer” means Dubai Municipality, which is abbreviated as “DM”;
“Contractor” means a person who has been awarded the Contract and has current legal possession of the Site. The term “Contractor” includes the legal successors in title to such person; however, without DM’s consent, an assignee of the contractor is not included.
“Original Contractor” means the contractor, who signed a contract with the Employer for the execution of the Works and remedying any defects therein, but subsequently; either
under the Applicable Law with DM’s consent, transferred his title, rights, obligations and liabilities to another contractor, who thus became his legal successor; or
was expelled from the Site pursuant to the provisions of Clause 63, but his contract was not terminated. In this case, the Original Contractor continues to have liabilities under the terms and conditions of his contract, but the Employer may appoint a second Contractor under a new contract for the execution of the Works and remedying any defects therein. Consequently, the appointed second Contractor is not the legal successor of the Original Contractor;
“Subcontractor”, means any person named in the Contract as a Subcontractor for a Part or Section of the Works, or any person to whom a Part or Section of the Works has been subcontracted in accordance with Clause 4.1, and the legal successor in title to such person, but not an assignee of any such person without",docx,0.465
CONDITIONS OF CONTRACT,19,DM’s consent;,,"“Joint Venture” des gnates the comb ned effort of two or more contractors to execute the Works. Each Contractor of the Jo nt Venture s called a “Member”. When used in plural, the term “Members” means all the Contractors of the Jo nt Venture.
(v )	“Member in Charge” or “Leading
Contractor” s a term appl ed n the case of a Jo nt Venture to des gnate the Contractor, who s appo nted by the Members and who represents all of them n negot at ons w th DM, rece v ng payments from and commun cat ng w th DM. The Member n Charge has the author ty to comm t all of the Members to perform add t onal work and to s gn the Amendments of th s Contract on behalf of all of them. The Author zed Representat ves of the Jo nt Venture must be part of the organ zat on of the Member n Charge;",docx,0.533
CONDITIONS OF CONTRACT,20,"(v ) “Engineer” means the person nom nated by the Consultants and approved by DM to act as Eng neer for the purpose of th s Contract and named as such n the Letter of Acceptance. It may also mean any other competent person nom nated by the Consultants, approved by DM and not f ed to the Contractor to act n replacement of the Eng neer named n the Letter of Acceptance, or n a subsequent not f cat on to the Contractor by the Employer;",,"x) “Engineer’s Representative” means a person appo nted from t me to t me by the Eng neer under Clause 2.2;
“Party” means e ther the Employer, or the Contractor. When used in plural, “Parties” means both of them;
(x )	“Personnel” means e ther persons h red by
the Contractor or by any approved Subcontractor as employees (management, staff and labor), or persons seconded from another organ zat on, ass gned to the",docx,0.076
CONDITIONS OF CONTRACT,21,“Service Authorities” means:,,DEWA-ED (Dubai Electricity and Water Authority - Electricity Department) - DEWA-WD (Dubai Electricity and Water Authority - Water Department) - DPH (Dubai Police Headquarters),docx,0.552
CONDITIONS OF CONTRACT,22,ETISALAT (Emirates Telecommunications Corporation),,"Dubai Municipality’s
Roads Department
including the Road Lighting Section Drainage and Irrigation Department including the Irrigation Section Horticulture & Parks Department including the Horticulture Section Public Health Department Building Department Planning Department",docx,0.475
CONDITIONS OF CONTRACT,23,The above list may be amended from time to time by DM regulations and it may be modified by the Applicable Law;,,"(b) Documents
“Contract” means the legally binding
agreement, consisting of a complete set of Contract Documents as defined under Clause 5.3 or its amendment, between the Employer and the Contractor for the execution and completion of the Works and remedying of any defects therein by the Contractor;",docx,0.433
CONDITIONS OF CONTRACT,24,"“Contract Agreement”, or “Agreement” is one of the Contract Documents, referred to in Clauses 5.3 and 9.1, which contains the signature page of the Contract among other items;",,"( v) If executed pursuant to the prov s ons of Clause 5.4, the “Amendment” means one of the Contract Documents w th a rank def ned n Clause 5.3. The “Amendment” modifies the terms and cond t ons of the Contract, n part cular, t may ncrease or reduce the Works, or change the cost or t me elements or any other cond t ons of the Contract by an agreement between the Part es;",docx,0.412
CONDITIONS OF CONTRACT,25,"(v) “Specification(s)” means the spec f cat ons of the Works ncluded n the Contract and any mod f cat on thereof or add t on thereto made under Clauses 5.4 and 51, or subm tted by the Contractor and approved by the Eng neer. The “Specifications” is one of the Contract Documents;",,"(v ) “Drawing(s)” means all draw ngs, calculat ons and techn cal documents of a l ke nature prov ded by the Eng neer to the Contractor under the Contract and all draw ngs, calculat ons, samples, patterns, models, operat on and ma ntenance manuals and other techn cal documents of a l ke nature subm tted by the Contractor and approved by the Eng neer. Draw ngs are part of the Contract Documents;",docx,0.385
CONDITIONS OF CONTRACT,26,"e ther one of the tender documents, the executed and s gned Form of Tender, wh ch becomes one of the Contract Documents, called “The Tender”, or",,"the Contractor’s detailed offer in a complete set of tender documents as def ned n the Tender;
“Appendix to Tender” means the executed Form of Appendix to Tender completed by the Employer and the Contractor and attached to the Tender by the Contractor;
“Letter of Acceptance” means the formal acceptance of the Tender by the Employer. The Letter of Acceptance is one of the Contract Documents, which states the Contract Price;
(c) Dates, Times and Periods
“Commencement Date” or “Date of Commencement of the Contract” means the day following the date of effectiveness of the Contract, as defined further in Clause 41.1;
“Commencement of the Works” means the date specified in the Engineer’s Notice of Approval	to	the Contractor to start	the",docx,0.433
CONDITIONS OF CONTRACT,27,execution of the Works pursuant to the,,"provisions of Clause 41.1;
“Completion Date” is the date of substantial completion of the Works, or any Section or Part thereof as certified in the Taking-Over Certificate by the Engineer pursuant to the provisions of Clause 48, as the case may be. In particular, the “Date of Substantial Completion of the Works” means the date certified under this expression in the Taking-Over Certificate for the whole of the Works pursuant to the provisions of Clause 48.1;
“Time for Completion” means the contractual time for completing the execution of, and passing the Tests on Completion, if any, of: either the Works (the whole), or any Section or Part thereof, stated in the Contract pursuant to Clause 43, or as extended under Clause 44, calculated from the Commencement Date. The Time for Completion of the whole of the Works is the Contract Period;
“Construction Period” means the contractual time period calculated from the Commencement Date up to the contractual date for completing",docx,0.522
CONDITIONS OF CONTRACT,28,"(v ) “Effective Date” or “Date of Effectiveness” means the date on wh ch the Contract entered nto full legal force and effect. The Effect ve Date s the day of s gnature of the Agreement by the Contractor, or any such other day follow ng th s date as may be spec f ed n the Agreement;",,"( x) “Date of Completion of the Contract” means the date spec f ed n the Defects L ab l ty Cert f cate for the complet on of the whole of the Works and remedy ng any defects there n pursuant to the prov s ons of Clause 62.1;
(x) “Effective Period of the Contract” means the t me per od from the Effect ve Date to the contractual end of the Defects L ab l ty Per od. However, pursuant to the prov s ons of:
Clause 5.3(F), a contractual relat onsh p ex sts between the Part es before the start of the Effect ve Per od of the Contract, and
Clauses 8.3 and 62.2, the end of the Effect ve Per od of the Contract does not mply the end of the contractual obl gat ons and l ab l t es of the Part es, some of wh ch w ll extend up to 10 years from the Date of Complet on of the Contract;",docx,0.366
CONDITIONS OF CONTRACT,29,(x ) “Defects Liability Period” means the t me,,"per od def ned n the Append x to Tender pursuant to the prov s ons of Clause 49.1, or as extended pursuant to the prov s ons of Clause 49.6;",docx,0.429
CONDITIONS OF CONTRACT,30,(xiv) “Year” means Gregorian calendar year of 365 or 366 days as the case may be;,,"Completion
“Tests on Completion” or “Final Acceptance Tests” means the tests specified in the Contract, or otherwise agreed by the Engineer and the Contractor, which are to be made by the Contractor before the Works, or any Section or Part thereof, are taken over by the Employer;
“Performance Tests” means the tests specified in the Contract and designated as such, which are to be carried out to verify that the Works fulfill the performance requirements, if any, of the Contract;",docx,0.375
CONDITIONS OF CONTRACT,31,"“Taking Over Certificate” means a certificate issued pursuant to the provision of Clause 48 by the Engineer with the consent of the Employer in response to the Contractor’s notice requesting the issue of this certificate and following the inspection and acceptance of the Works, or any Section or Part thereof, as the case may be;",,"“Substantial Completion of the Works” means the stage at which the Employer, or end user, is able to take beneficial occupancy of the Works;
“Defects Liability Certificate” means the certificate issued by the Engineer with the consent of the Employer pursuant to Clauses 49 and 62.1;
Money
“Currency” means UAE Dirhams;
“Foreign Currency” means a currency other than the UAE Dirhams;",docx,0.277
CONDITIONS OF CONTRACT,32,“Contract Price” means the sum stated in the Letter of Acceptance as payable to the Contractor for the execution and completion of the Works and remedying any defects therein in,,"accordance w th the prov s ons of the Contract. If the Contract Pr ce s adjusted accord ng to the provisions of the Contract, then the “Initial Contract Price” refers to the sum stated in the Letter of Acceptance to d st ngu sh t from the current “Contract Price”.
“Effective Contract Price” means the Contract Pr ce reduced by the Prov s onal Sums, as def ned n Clause 58. The In t al Effect ve Contract Pr ce s def ned n Clause 52.3;
“Contract Value” means the Contract Pr ce, subject to such add t ons thereto, or deduct ons therefrom as may be made under the prov s ons of the Contract;
(v ) “Cost” means all the expend ture properly ncurred or to be ncurred, whether on or off the",docx,0.429
CONDITIONS OF CONTRACT,33,"(v ) “Interim Payment Certificate” means any monthly statement of sums payable to the Contractor processed, adjusted and cert f ed pursuant to the prov s ons of Clauses 60.1 and 60.2, other than the F nal Payment Cert f cate;",,"“Final Payment Certificate” means the f nal statement of sums payable to the Contractor processed, adjusted and cert f ed pursuant to the prov s ons of Clause 60.13;
(f) Others
( )	“Applicable Law” means the laws and any
other nstrument hav ng the force of law n the UAE and n Duba , n th s order of pr or ty, as they may be ssued from t me to t me and n force dur ng the Effect ve Per od of the Contract;
( ) “Works”, when wr tten w th a cap tal W, means all the works def ned n the Contract to be",docx,0.388
CONDITIONS OF CONTRACT,34,"executed, carried out, prepared, excavated, filled, demolished, removed, constructed, assembled, installed, maintained, repaired and turned over to the Employer, as the case may be. It includes the Materials, Plant, Equipment and Services for the Works, which may consist of the Permanent and Temporary Works, or either of them as appropriate;",,"“Temporary Works” means all temporary works of any kind, other than the Contractor’s Equipment, designed, constructed, installed and removed by the Contractor that are needed in or about the execution and completion of the Works and the remedying of any defects therein;",docx,0.076
CONDITIONS OF CONTRACT,35,"“Defect” means any part of the Works, which was not completed in accordance with the provisions of the Contract, or the Engineer’s instructions;",,"“Daywork” means varied work inputs subject to payment on a time basis for the Contractor’s Personnel and Equipment, in addition to payments for associated Materials, Plant and Equipment;
“Plant” means machinery, apparatus and the like, intended to form, or forming integral part of the Permanent Works, which shall have a mechanical, electrical, chemical, or biological function;",docx,0.458
CONDITIONS OF CONTRACT,36,"“Equipment” means the appliances, furniture, and things of whatsoever nature, intended to form or forming integral part of the Permanent Works, but it does not include the Contractor’s Equipment;",,"“Contractor’s Equipment” means all
production equipment, appliances, vehicles, tools and things of whatsoever nature required for the execution and completion of the Works and the remedying of any defects therein, but does not include Temporary Works and Materials, Plant and Equipment or other things intended to form, or forming part of the Permanent Works;
“Section” means a subdivision of the Works specifically identified in the Contract as a Section;",docx,0.376
CONDITIONS OF CONTRACT,37,“After Due Consultation by the Engineer,,"with the Employer and the Contractor” means that the Engineer shall consult with the Employer and the Contractor to such extent as is appropriate in the circumstances, except as stated hereunder. The term “due consultation” shall not be construed in any instance as to mean no consultation with the Employer and the Contractor, unless:
the Employer having been contacted in writing shall fail to make himself available for such consultation, having been requested by the Engineer,
if in the opinion of the Engineer, an emergency occurs affecting the safety of life, or of the Works, or of adjoining property;",docx,0.500
CONDITIONS OF CONTRACT,38,"“Terminate”, “Terminated”, and/or",,"“Termination”: refers to the ending of the contract or agreement, usually before the end of the anticipated term, which termination may be by mutual agreement or by exercise of one party of its rights under the contract.",docx,0.430
CONDITIONS OF CONTRACT,39,DCL : Dubai Municipality Central,,Laboratory,docx,0.424
CONDITIONS OF CONTRACT,40,DEWA : Dubai Electricity and Water,,Authority,docx,0.481
CONDITIONS OF CONTRACT,41,DEWA-ED : DEWA - Electricity Department,,"DEWA-WD : DEWA - Water Department
Contract for Works of Civil Engineering Construction; or Conditions, Part II",docx,0.424
CONDITIONS OF CONTRACT,42,UAE : United Arab Emirates,,"The headings and marginal notes in these Conditions shall not be deemed part thereof, or be taken into consideration in the interpretation or construction thereof, or of the Contract.
(A) Unless specifically defined otherwise in Clause 1.1 (priority No.1), words have their normal meaning defined in the Webster’s New World College Dictionary (priority No. 2).
As the context requires, words such as persons, entities and parties may refer to individuals, contractors, companies, suppliers, service providers, joint ventures, corporate bodies, government organizations, or institutions having a legal capacity.
Unless the context otherwise requires, singular includes plural, and vice versa. Notable exceptions to this rule are “Member” and “Members”, and “Party” and “Parties”, which are defined in Clause 1.1(a).
Unless the context otherwise requires, masculine includes the feminine, or neuter and vice versa.",docx,0.500
CONDITIONS OF CONTRACT,43,(A) Authorized Signatures:,,"Any action required or permitted to be taken, and any document required or permitted to be executed, including the Amendments to the Contract, by the Employer, Engineer and the Contractor may be taken or executed by the persons listed in the Appendix to Tender. The names of persons overseeing this Contract from the Employer’s office are also listed in the said Appendix. Additional provisions about the Engineer’s Authorized Representatives are stated in Clauses 2.2 and 2.4 and about the Contractor’s Authorized Superintendent are stated in Clause 15.1.
Authorized Focal Points:
The Parties shall respect the contractual chain of command, which proceeds from the Employer through the Engineer to the Contractor and to the Subcontractor, if any. In the case of the Contractor’s requests or initiatives, the above order is reversed, but the steps remain the same. Under exceptional circumstances, when the Contractor communicates directly with the Employer, or vice versa, the Contractor has the obligation to inform the Engineer about the Contractor’s all Contract related communications with the Employer, which are outside the above described chain of command. Consistent with all these conditions and the provisions of Clauses 68.1 and 68.2, the names, addresses, phone and fax numbers of those, who are authorized to receive, initiate and transmit all communications, and who can give information on
the preparation of Monthly and Final Statements in the Contractor’s office and on the status of processing Monthly Payment Certificates in the Employer’s office are specified in the Appendix to Tender. The names, addresses and fax and phone numbers of those in the Employer’s office who, according to the provisions of the Contract can receive copies and documents directly from the Contractor, are also listed in the said Appendix. Any change of data related to all these listed persons shall be communicated to the other persons listed in the said Appendix and the Engineer, pursuant to the provisions of Clause 68.3.",docx,0.409
CONDITIONS OF CONTRACT,44,ENGINEER AND ENGINEER’S REPRESENTATIVE,engineer_and_engineer_s_representative,"Engineer’s Duties 2.1	(A) The Engineer shall carry out the duties specified for the
and Authority	Engineer in the Contract.
The Engineer may exercise the authority specified in or necessarily to be inferred from the Contract, provided, however, that if the Engineer is required, under the terms of this appointment by the Employer, to obtain the specific approval of the Employer in addition to those listed under Sub-Clause (C) below, before exercising any such authority, particulars of such requirements shall be set out in Conditions, Part II. Provided further that any requisite approval shall be deemed to have been given by the Employer for any such authority exercised by the Engineer.
The Engineer shall obtain the specific approval of the Employer before taking any of the following actions:
Consenting to the subcontracting of any part or section of the Works under Clause 4;
Certifying additional cost determined under Clause12;
Consenting to the Contractor’s Work Program under Clause 14;
Requiring tests to be carried out, or witnessed at any place other than the UAE, in accordance with Claude 36.
Determining an extension of time under Clause 44.
Issuing any Taking – Over Certificate under Clause 48.
Issuing a variation under Clause 51, which will result in an addition to, or a subtraction from, the “Effective Contract Price” defined in Clause 1.1(e), or a change in the Specifications of Materials, Equipment, or Plant. However, the Engineer shall create an exception to this rule in an emergency	situation, as	reasonably
determined by	the Engineer.	Emergency
situations are limited to impending danger to
life, existing Works and neighboring properties.",docx,0.974
CONDITIONS OF CONTRACT,45,ASSIGNMENT AND SUBCONTRACTING,,"4.2 In the event of a Subcontractor having undertaken towards the Contractor in respect of the work executed, or the Goods, Materials, Plant, Equipment or Services supplied by such Subcontractor, any continuing obligation extending for a period exceeding that of the Defects Liability Period under the Contract, the Contractor shall at any time, after the expiration of such period, assign to the Employer, at the Employer’s request and cost, the benefit of such obligation for the unexpired duration thereof.",docx,0.508
CONDITIONS OF CONTRACT,46,"priority of the Contract Documents forming the Contract, starting with No. 1 as the highest priority document, shall be as follows:",,"Contract Agreement
Letter of Acceptance
Tender and Appendix to Tender (as submitted by the Contractor in the Tender)
Particular Conditions of Contract, Conditions Part II (part of Tender Documents)
General Conditions of Contract, Conditions Part I (as published by DM)
Specifications (part of Tender Documents)
Drawings (part of Tender Documents)
Priced Bill of Quantities (part of Tender Documents)
Other Documents, as listed in the Appendix to Tender (part of Tender Documents)
In those cases, where other documents are listed in the Appendix to Tender, the Agreement shall list all Contract Documents in their order of priority. If the Agreement does not list the Contract Documents forming the Contract, the list in Sub-Clause (B) above shall govern the priority of Contract Documents.
Specifications may be provided in one or two parts. If Specifications are provided in two parts, General Specifications and Particular Specifications, then Particular Specifications have priority over the General Specifications.
Tender Queries and Answers and all Clarification related Post-offer Submission correspondence shall be collected in one volume and incorporated in the Contract as Annexes. This Annexes volume shall not be ranked among Contract Documents. However, each particular question and the corresponding answer belong to the Contract Document they related to, and have priority over this Contract Document, but their overall rank is determined by the rank of the Contract Document itself.
Before the signature of the Agreement by the Parties, the Employer’s acceptance of the Contractor’s Tender",docx,0.417
CONDITIONS OF CONTRACT,47,"The Contractor shall supply to the Engineer four copies of all Drawings and other documents submitted by the Contractor and approved by the Engineer in accordance with Cause 7.2, together with a diskette compatible with DM’s system and a reproducible copy of any material which can not be reproduced by photocopying. In addition the Contractor shall supply such further copies of such drawings and other documents as the Engineer may request in writing for the use of the Employer, who shall pay their cost.",,"The Contractor shall prepare all the “As Built Drawings” according to the instructions of the Engineer and the concerned Service Authorities. The Engineer shall verify their accuracy and certify them, and the Contractor will be paid for their preparation by the Employer at BOQ rates. Within two months after the Substantial Completion of the Works, the Contractor shall supply to the Engineer two reproducible originals (one for the Employer and one for the Engineer) and four copies (two for the Employer and two for the Engineer) of all certified “As built Drawings” together with two diskettes (one for the Employer and one for the Engineer) compatible with DM’s system. If the Contractor does not submit these Items to the Employer by the deadline, then the Employer will withhold the Penultimate and Final Payment until these Items are delivered to the Employer and the Service Authorities pursuant to the provisions of Sub-Clause (E) below. In addition, the Contractor shall supply such further copies of such Drawings and other documents as the Engineer may request in writing for the use of the Employer, who will pay their cost.",docx,0.072
CONDITIONS OF CONTRACT,48,other requirements of these Authorities.,,"If, by reason of any failure or inability of the Engineer to issue, within a time reasonable in all the circumstances, any drawing, specification, or instruction for which notice has been given by the Contractor in accordance with Clause 6.3, and consequently, the Contractor suffers delay and/or incurs costs, then the Engineer shall, after due consultation with the Employer and the Contractor, determine:
any extension of time to which the Contractor is entitled under Clause 44, and
the amount of such costs, which shall be added to the Effective Contract Price, and
shall notify the Contractor accordingly, with a copy to the Employer.",docx,0.563
CONDITIONS OF CONTRACT,49,GENERAL OBLIGATIONS,,"security from an institution of his choice and at a market price available to the Employer and found reasonable by the Employer on or after the 15th day from the date of the Employer’s notice stated above. In this case, the cost of this purchase shall be deducted from the sums due to the Contractor, or in case of insufficiency of funds, from the retention money held by the Employer.
Inspection of	11.1	(A) The Employer may have made available to the
Site	Contractor, before the submission of the Tender by
the Contractor, such data on hydrological and subsurface conditions as have been obtained by, or on behalf of, the Employer from investigations undertaken relevant to the Works. However, the Contractor shall be responsible for his own interpretation thereof.
The Contractor shall be deemed to have inspected and examined the Site and its surroundings and information available in connection therewith and to have satisfied himself, so far as is practicable, having regard to considerations of cost and time, before submitting his Tender, as to:
the form and nature thereof, including sub-surface conditions,
the hydrological and climatic conditions,
the extent and nature of work and materials necessary for the execution and completion of the Works and the remedying of any defects therein, and
the means of access to the Site and accommodations he may require.
In general, the Contractor shall be deemed to have obtained all necessary information, subject as above mentioned, as to risks, contingencies and all other circumstances which may influence or affect his Tender.
The Contractor shall be deemed to have based his Tender on the data made available to him by the Employer and on his own inspection and",docx,0.625
CONDITIONS OF CONTRACT,50,(A) In the case of unforeseen physical obstructions and,,"conditions defined under Clause 12.2, the Contractor shall alert the Engineer verbally as soon as possible, but not later than the end of the day of the event and",docx,0.420
CONDITIONS OF CONTRACT,51,"give a written notice (Physical Obstruction or Condition Notice) to the Engineer, with a copy to the Employer, within three (3) days, which shall be extended by the duration of public holidays, which falls within the 3-day period, from the day of the event, as day number 1, describing:",,"the event (details about date, hour, method of work leading to the event, observations, estimated geometric dimensions, nature of the problem)
details of the anticipated effects and consequences thereof
measures the Contractor has undertaken already and is proposing to take to overcome the problem, and
a preliminary estimate of the anticipated delays in the Work Program and interference with the Contractor’s other activities in connection with the Works.
If the Physical Obstruction or Condition Notice states explicitly the Contractor’s intention to prepare a claim, then the Contractor is not obligated to submit another claim notice within 28 days from the event pursuant to Clauses 44 and/or 53 to be eligible for claiming time extensions and/or extra costs. However, if the Physical Obstruction or Condition Notice does not make this statement, the Contractor must still meet the 28 days deadline for notice of claim under Clauses 44 and/or 53. In all cases, the provisions of Sub-Clause (A), above, must be fully satisfied.",docx,0.361
