contract_id,order,section_title,section_id,text,source,confidence
CONTRACT of executor__headings_fixed,11,MISCELLANEOUS,final_provisions,"None of the ""Parties"" have the right to transfer their rights and obligations under this contract to a third ""Party"".
Any changes and additions to this contract shall be deemed valid only if they are made in writing, by signing by both «Parties».
The present Contract is done in duplicate in Russian and English, each of which has equal legal effects. In case of a discrepancy determination between Russian and English wording of the Contract, the Russian language part would have the priority.
Upon every other point not found in the terms of the present Contract, the Parties shall walk after a Russian Federation legislation in power.",docx,0.900
CONTRACT of executor__headings_fixed,12,EGAL ADDRESSES AND OTHER DETAILS,addresses,Legal addresses of Parties.,docx,0.900
CONTRACT of executor__headings_fixed,13,""" EXECUTOR """,,"__________________________
Address: ____________________________________ ____________________________________________",docx,0.476
CONTRACT of executor__headings_fixed,14,"""CUSTOMER""",,"___________________
____________________, Russian Federation
telefax: _______________________
Bank details of Parties.",docx,0.400
CONTRACT of executor__headings_fixed,15,"""EXECUTOR""",,____________________________________________ ____________________________________________ ____________________________________________,docx,0.526
CONTRACT of executor__headings_fixed,16,""" CUSTOMER """,,"________________________________________
SWIFT: ___________________
____ account: ___________________
_____ transit account: __________________
MFO ___________, INN ___________________
OKPO _________________
Shipping details of Parties.
“The Consignors”:
____________________________________
____________________________________
____________________________________
Point of shipment:______________________
____________________________________
“The Consignee”:
________________________
___________________, Russian Federation.
Customer
_______________________________
2025-yil «___»___________dagi
__-sonli shartnomaga 1-sonli ilova/ Appendix №1 to the Contract No ___________________________",docx,0.370
CONTRACT of executor__headings_fixed,17,sonli spesifikatsiya / Specification #1,specification,"№
Nomi/
Description
Miqdori, dona /
Q-ty, pc
Bir dona uchun narxi /
Price / pc
Summasi/Amount
TIF TN kodi/
HS Code
1
2
3
4
5
6
7
8
9
10
JA’MI: / Total:
JA’MI: / Total:
JA’MI: / Total:
Ja’mi: ______________ (____________________________) _______________________, QQS stavkasi - 0%.
Total:   _____________ (____________________________) ______________________, VAT rate-0%.
Ijrochi/ Executor
Buyurtmachi / Customer",docx,0.900
CONTRACT on supply of goods__headings_fixed,1,PREFACE,preface,"CONTRACT on supply of goods
№  dated
city
“Avtokomponent” LLC, (“Purchaser”) Limited liability company duly organized and existing under the laws of the Russian Federation with its legal address at: 170200, 1, Vokzalnaya street, Moscow,  Russian Federation , represented by General Director Radjapov J.M acting undeform one side, and  (“Supplier”), company duly organized and existing under the laws of the   with its registered address at:  Xitou Industrial Zone, Jindu Town, Gaoyao District, Zhaoqing City, Guangdong Province , acting on the basis of Charter, on the other hand, hereinafter jointly referred to as the “Parties”, individually as a “Party”, have  concluded this Contract (“Contract”) as  follows:",docx,1.000
CONTRACT on supply of goods__headings_fixed,2,DEFINITION,definition,"When used in this Contract, the following terms shall have the meanings ascribe to them below:
- The term “Goods” shall mean parts specified in Appendix №1 of this Contract
- The term “EDI” shall mean Electronic  Data Interface
- The term “ECR” shall mean possible engineering changes released by «Avtokomponent» LLC, on the basis of which may be amended to the Goods.
-The term “Piece Price” shall mean Price per each position of the Goods
- The term “PPAP” shall mean Production Part Approval Process.  The process determines if all Customer requirements specified and agreed herein are met by a supplier and whether the process has the potential to produce product meeting these requirements on a production basis.
- The term “RFQ” shall mean Request for Quotation
- The term ""MECR"" means the process of managing of technical changes.
- The term ""RMI"" means the raw material index.
- The term ""ASN"" means Preliminary information on the shipment of the Goods.
1. THE SUBJECT OF THE CONTRACT
1.1 This Contract sets forth the terms and conditions under which Supplier shall supply and Purchaser shall purchase the Goods described in the line item details of the Attachment №1 to this Contract and in accordance with the terms and conditions set forth hereunder.
1.2. Attachment shall include:
- Customs Code (HS Code);
- Part name and part number (article);",docx,1.000
CONTRACT on supply of goods__headings_fixed,3,- Delivery term based on Incoterms - 2010,delivery_terms,"-Price of Goods, which include packaging, labeling, transportation cost to the destination which is defined in delivery term of this Contract per Incoterms 2010
2. CONTRACT PRICE
2.1. Contract amount shall be  28 350,00 USD (twenty eight thousand three hundred US dollars zero cents) on the basis of  terms as defined in Incoterms 2010. Contract amount is for reference and is set on the basis of annual forecasted volume of Goods given in Attachment #1.
Parties agree that by no means the Total maximum quantity of Goods shown in Attachment №1 shall be subject to mandatory purchase
Except as expressly provided elsewhere in the Contract, the price per unit is firm and not subject to adjustment for increases in Supplier’s costs, including, but not limited to, increases in the costs of labor, or overhead.
2.2. The price of the unit specified in Attachment #1 shall be adjusted before start of production (SOP) and then upon agreement of both Parties 2 times per year (from 1st of January and 1st of July) in the event that costs of material and components changes over 3% on the base of confirming documents provided from Supplier.
2.3. The price for unit shown in Attachment #1 may be adjusted by the Parties in accordance with the released engineering changes (ECR). All changes and price shall be agreed between the Parties prior to implementation. Shall such change be confirmed, Parties shall sign respective Additional Agreement (or Amendment) and register it at respective authorities of  Russian Federation.",docx,0.900
CONTRACT on supply of goods__headings_fixed,4,PAYMENT TERMS,payment_terms,"3.1 All payments will be made by means of bank transfer in USD. The parties agreed that payment shall be made as follow: Payment for each shipment of goods will be made by advance payment in the amount of 40% after Order and 40% after goods ready for ship and 20% after goods delivered to the Purchaser within 30 calendar days.
3.2 All fees and other bank charges in connection with the execution of this Contract in the territory of the Supplier shall be paid by the Supplier. All fees and other bank charges in connection with the execution of this Contract by Bank of Purchaser regardless in/outside the territory of the Russian Federation shall be paid by the Purchaser.
3.3 Notwithstanding any other provision of the present Contract, upon agreement by Supplier, Purchaser shall be entitled to withhold actual amount, including but not limited to penalties, fees, fines, that is due to payment by Supplier to Purchaser by reason of Supplier’s failure to properly performance its obligation under the Contract.
3.4 Partial shipment of a specific order and its payment is allowed by agreement of the Parties. Payments per each partial delivery shall be done proportionally to each the actually supplied Goods.",docx,0.900
CONTRACT on supply of goods__headings_fixed,5,THE TERMS OF SUPPLY,delivery_terms,"The procedure of order and supply of «Goods» ordered by Purchaser and supplied by Supplier shall be performed as per following regulations:
4.1. Parties agree that quantities of goods require shall be shipped as per EDI schedule for entire period of present contract.
4.2. The Goods shall be shipped on the basis of FOB Fuzhou, China (Incoterms 2010), according to EDI schedule.
4.3. The delivery of the Goods based on article 4.1 shall be made within 30 (thirty) calendar days from the moment the order arrives at Supplier according to the EDI schedule, but in any case, the delivery time of the goods shall not exceed 40 days from the date of the respective prepayment.
Supplier has to comply to the Purchaser’s Standard Global Supply Chain Requirements GM 1700.
4.4. EDI shall indicate a forecast of 52 weeks minimum of which first 4 are firm. In the Forecasts from Week 5 to 8 +/-15% deviations is permitted. In case deviations occur beyond +/-15% alteration of forecasts is possible only upon agreement between Parties. EDI schedules should be provided by Purchaser at the 4 (four) weeks prior to delivery.
Supplier is responsible for the timely and accurate Advance shipment notification creation and transmission.
4.5. The Goods shall be packed and labeled in the manner customary for export providing full safety of the Goods and protect them from damage during shipping and during transportation, and to prevent the Goods from weather effects.
Packaging shall comply with GM1738 GME oversea standard. The Purchaser should approve packaging.
Labeling shall comply with GM1724 standard unless otherwise agreed by the Parties.
4.6. The Supplier shall furnish the Purchaser the technical information and documentation related to the Goods and which is necessary for customs clearance for the Goods in Russian Federation to be performed by Purchaser as specified in clause 4.7 of the Contract; such information and documentation shall be provided in English.
4.7. All deliveries of Goods supplied by the Supplier shall be accompanied by the following documents which are to be in a form and content satisfactory to the Purchaser and to be compliant with the documentation requirements of the relevant Uzbek authorities:
1) Commercial invoice - original
2) Packing list - original;
3) Certificate of origin, issued by the countries’
appropriate Chamber of Commerce -original;
4) Waybill – original;
5) Certificate of Conformity or equal document certifying the quality and manufacturing standards of Goods, issued by the authorized organization in the country of manufacturing;
6) Customs Declaration for each shipment.
4.8. Commercial invoice should obligatorily include the following details:
a)	Name and legal address of the Supplier;
b)         Purchaser’s name and legal address;
c)	reference to a Contract number and date;",docx,0.900
CONTRACT on supply of goods__headings_fixed,6,e) payment terms,payment_terms,"f)	name of Goods (items);
g)	quantity per each item;
h)	price and total amount per each item;
i)	total amount and currency of invoice;
j)	country of origin of Goods (items);
k)	customs tariff number;
l)	Supplier’s company signature and stamp
4.9. Packing list should obligatorily include the following details:
a)	reference to invoice number;
b)	Supplier and Purchaser name;
c)	quantity of collies;
d)	dimensions of the package;
e)	type of the package;
f)	name of Goods (items);
g)	net weight per line item;
h)	gross weight;
i)	tare weight.
4.10. Within 48 (forty eight) hours of the each dispatch of the Goods, the Supplier must send the Purchaser scanned copies of shipping documents attached to the Goods by fax or e-mail. And also shall send to the Purchaser an Excel format file by e-mail containing all data from commercial invoice and packing list as per Articles 4.8 and 4.9 above.
4.11. The Shipment and marking
The Goods shall be marked in accordance with the relevant instructions and standards of the Purchaser. Information on the manufacturer and the country of origin shall be indicated in the Attachment 1 hereof.
4.12. If Purchaser reasonably requires additional input or information from the Supplier beyond provision of the documentation set forth above, Supplier shall provide the Purchaser with an appropriate and reasonable support during certification of the Goods and other official approval processes in Russian Federation, as may be required, including but not limited to the submission of necessary documents.
4.13 If the Supplier does not present the documents set forth in Article 4.7 of this Contract or presents incorrect documents, then any resulting expenses, including but not limited to customs warehousing or Goods storage, shall be borne by the Supplier.
4.14 Delivery of any Goods with enclosed materials or other items not stated in the Contract shall be prohibited not depending on their measures and cost. Should a lack of conformity as to the quantity or completeness of the Goods, due to the reason attributed to the Supplier, be detected during the import customs clearance, the Supplier, beside other things, shall reimburse the Purchaser for the incurred expenses, including the amount of fines imposed for failure of the Russian Federation customs and currency legislation.
4.15 Delivery and acceptance of the Goods by quantity and quality shall be carried according to procedures pre-agreed by both Parties and the legislation of the Russian Federation.
The date of delivery and the date of transfer of the property right is to be considered the date of the goods handover to the Purchaser or to the delivery service (carrier) of the Purchaser at the place of delivery specified.
The Goods are delivered by the Supplier and accepted by the Purchaser in accordance with the number of packages and the weight received at the place of delivery.
4.16 In case of shortages due to the reason attributed to the Supplier discovered upon acceptance of the Goods, the Purchaser shall have the right to send the Supplier a notification. According to the notification the Supplier delivers missing Goods to the Purchaser at Supplier’s expenses in the frame of the present Contract and within a time agreed by the Parties, but not later than 1 month from the date of Notification, with Goods description and quantity stated in the above mentioned shortage notification on CIP conditions – 170200, 81, Humo street, Moscow, 
 Russian Federation, the Purchaser Premises (INCOTERMS 2010). Shipment invoice shall include the reference to the number of the Contract, shortage Invoice, the shortage notification number and indication on free-of-charge delivery.
4.17. Compensation procedure for complaints:
4.17.1. The complaint of the Purchaser to the Supplier in connection with the nonconformity of the quality and quantity of supplied Goods due to the reason attributed to the Supplier, discovered ""in-house"" of the Purchaser’s (warehouse, production line, sale area) or on the market (Goods sold on the Purchaser's vehicles) with simultaneous demand for compensation of losses by Purchaser is defined as Complaints (hereinafter referred to as ""Complaints"").
4.18. Classification of Complaints:
4.18.1. Complaint from the line - a complaint made to the Supplier in connection with the discovery of nonconformity in the quality and quantity of the supplied Goods of the Supplier ""in-house"" of the Purchaser. Such complaint shall be submitted within 30 calendar days from the date of the Goods reception on the Purchaser’s warehouse.
4.18.2. Complaint from the local market is a complaint to Supplier in connection with the discovery of a nonconformity in the quality of the Supplier's Goods on the cars sold by the Purchaser in Russian Federation during the warranty period, that is thirty six (36) months or 100,000 (one hundred thousand) km after the sale of vehicles (hereinafter referred to as the ""Warranty Period"").
4.18.3. Complaint from the external market - a complaint from the external market, in connection with the discovery of a nonconformity in the quality of the Supplier's Goods, on the cars sold by the Purchaser out of Russian Federation, in the Warranty Period.
4.18.4. Complaints on maintenance.
Complaint in connection with the discovery of a nonconformity between the quality of ""A"" Goods and ""functional"" Goods or the necessity, subject to sufficient evidence, to take measures to prevent the appearance of predictable Goods malfunctions on the sold (shipped) cars or to receive an order from a higher authority to take preventive or other appropriate measures on Goods of the Purchasers cars that do not comply with the requirement specified and agreed herein, with subsequent recall of cars of a certain lot, regardless of whether it happened in the Warranty period or not.
4.18.5. Complaints on repair Goods - a complaint in connection with the need to supply Goods and auxiliary materials for repairing vehicles which are in the Warranty Period.
4.19. Responsibility for compensation
Notwithstanding any provisions contained in this contract, the Supplier, shall compensates the Purchaser and bears all legal responsibility for the damage caused to the Purchaser only for nonconformity of the quality Goods due the reason attributed to him. However, the amount of compensation should not exceed the selling price of the Goods and the cost of the expenses of supplying defective Goods.
4.20. Term of compensation for complaints
The Supplier undertakes to compensate complaints to the Purchaser during the validity period of the Purchaser's Warranty Period, i.е. for 3 years or 100 000 km of mileage after the sale of the car.
4.21. Confirmation of Complaints
Claims may be submitted regarding the quality of the Goods not late than 1 (one) month, and regarding the quantity not late than 2 (two) weeks from the date of reception on the Purchaser’s warehouse.
Claims shall state the denomination and quantity of Goods against which they are submitted, their subject and grounds. Claims will be sent by registered mail with enclosure of all proving documents, such as claim reports, stated above shipping documents, certificates of quality and in case of short shipped contents - packing lists.
The aforesaid documents will contain reference to the number of the present Contract and the number of the transport documents.
The Purchaser determines whether the complaint has arisen in connection with the inconsistency of the quality of the delivered Goods and, if confirmed, informs the Supplier thereof by means of a written notice.
4.21.1. In case of disagreement of the Supplier with the Purchaser's complaints, in order to resolve these issues with the Purchaser, he must inform him within 3015 days from the date of receipt of the notice of his disagreement in writing. Purchaser shall consider the disagreement and both Parties shall have negotiation over it. In case both Parties fail to reach agreement within 30 days after negotiation, a third party testing institute jointly selected by both Parties shall be engaged for examination of the Goods.
4.21.2. In the event that the Supplier does not present a notification of his disagreement within the period specified in cl. 4.22.1, It is considered that the Supplier acknowledges the complaint against him.
4.21.3. It is expressly agreed between the Parties that Supplier’s warranty shall not cover any default resulting from the following cases, and for complaints in which the Supplier shall not be liable:
Nonconforming materials, components or subsets delivered to Supplier by a Mandated supplier, or supplied directly by the Purchaser,
connecting the Supplier Products to any other product or components supplied to the Purchaser by a third party, unless otherwise provided in the specifications,
handling, stocking, maintenance and assembly in the Vehicle and/ or use contrary to the instructions given by Supplier or the state of art,
a modification brought to the specifications of the Vehicle directly related to Supplier’s Goods without Supplier’s prior written consent,
a modification in the Products, the elements constituting the Products or the setting of the Products, without Supplier’s previous written consent,
4.22. Notice of Complaints
The Purchaser notifies the Supplier of the content of the complaint in writing by e-mail addresses specified in the Contract.
4.23. Proceedings on the details specified in the complaint
The supplier within 15 days from the date of receipt of the Purchaser's message with the claim for compensation for the complaint undertakes to take out the details specified in the complaint at his own expense. However, in case of finding the details specified in the complaint on the external market, the Purchaser can assist the Supplier in the return of these Goods at the expense of the Supplier, conducts a joint investigation of the defective Goods with him.
The Goods, specified in Complaint shall be returned by the Purchaser to the Supplier on EXW conditions, unless otherwise agreed - 170200, 81, Humo street, Moscow ,  Russian Federation. (INCOTERMS 2010).  The custom formalities related to export of Defective Goods from Russian Federation shall be fulfilled by the Supplier’s forwarding agent and Suppliers covers all respective cost related to export of the defective goods out of Russian Federation.
4.23.1. If the return of the details specified in the complaint requires the costs which exceed the cost of the Goods themselves or if they will not be removed by the Supplier during the term set forth in cl. 4.23. of this Contract, the Purchaser may, upon agreement by Supplier, write off, and all the expenses required for this are paid by the Supplier.
4.23.2. The Supplier without the consent of the Purchaser can not reuse the details specified in the complaint.
4.24. Method of compensation
In case of a complaint on the production line (lack of Goods), the Purchaser, depending on the situation, chooses one or some of the following methods of compensation, subject to applicable law or agreement by both Parties, and the Supplier, compensates by using the method, specified by the Purchaser.
4.24.1. Supply of replaceable Goods
The supplier promptly delivers missing Goods or replaceable Goods instead of the Goods specified in the complaint.
The Goods delivered to cover shortage and/or as a replacement shall be shipped on CIP conditions - 170200, 81, Humo street, Moscow, ,  Russian Federation. (INCOTERMS 2010).  In case the Supplier fails to deliver the Goods according to paragraph 4.24.1, Supplier shall pay penalty at rate 10% (ten) of total amount of Goods.
4.24.2. Costs for repairs
The supplier pays all costs associated with repairing the Goods specified in the complaint.
4.24.3. Other
The Supplier shall reimburse the Purchaser for its expenses for the repair of the Goods and compensate for all actual losses, related to the delay in the shipment of vehicles and the stoppage of the production line that arose from the details of the complaint specified in clauses 4.24.1 and 4.24.2.
4.25. In other cases (see clauses 4.18.2.- 4.18.5.), With the exception of the complaint on the production line, the Supplier shall compensate the Purchaser for the items listed below.
4.25.1. Expenses for Goods.
The supplier in the event of receiving a complaint due to quality nonconformity of the Goods supplied by him, must compensate the Purchaser for the sum of the cost of the Goods specified in the complaint.
4.25.2. Costs for repairs.
The Supplier shall compensate the Purchaser for all costs associated with the repair of the delivered Goods (Goods delivered by the Supplier to the Purchaser), and in case of complaint from the external market, he must urgently send the details by means of air transportation and pay the Purchaser all the costs associated with this transportation.
4.26. The amount of compensation.
Notwithstanding any provisions contained in this contract, the Supplier undertakes to reimburse the direct losses incurred by the Purchaser related to the occurrence of the complaint for the delivered Goods due to reasons attributed to Supplier, based on the ""Calculation of compensation amount"" negotiated and agreed upon by the Parties.",docx,0.900
CONTRACT on supply of goods__headings_fixed,7,Method of payment of the compensation amount.,payment_terms,"The Purchaser, at a fixed frequency, calculates the total amount of compensation for complaints and reports it to the Supplier together with detailed information. Upon the Supplier accepted the claim, The Purchaser, in the event that the Letter of Credit is opened, reflects in it the amount of compensation for complaints, if the Supplier does not have a letter of credit, reflects the next delivery in the cost of the Goods or can assign (determine) to him another payment method.
4.28. All complaints for compensation of complaints submitted to the Supplier shall be kept by the Purchaser within one year.",docx,0.900
CONTRACT on supply of goods__headings_fixed,8,THE RIGHTS AND OBLIGATIONS OF THE SUPPLIER,rights_obligations,"5.1 The Supplier shall supply the Goods at  terms as defined in INCOTERMS 2010, together with all documents specified in the Article 4.7.
5.2 The Supplier is obliged to use appropriate packaging for the transportation to ensure full protection of the cargo from any kind of damage.
5.3 The Supplier agrees that General terms and conditions attached hereto in Attachment 2 shall apply. In case of discrepancies between General terms and conditions and provisions of this Contract, the terms and conditions of this Contract shall prevail.
5.4 The Supplier shall perform part’s release process in accordance with GM procedure GM Global Supplier Quality Manual GM-1927. PPAP is considered as successfully completed and approved by the Purchaser after signing Part Submission Warrant for the components produced on the tooling and assignment of “Approved” status in GM Global Quality Tracking System (“GQTS”).",docx,0.900
CONTRACT on supply of goods__headings_fixed,9,THE RIGHTS AND OBLIGATIONS OF THE PURCHASER,rights_obligations,"6.1 The Purchaser is obliged to accomplish the import custom clearance and the payment of the administrative fee when imported into the country of the Purchaser.
6.2 The Purchaser shall make all the timely payments in accordance with the Article 3 of the present Contract.
6.3 If the Purchaser has accepted any Goods without prior examination this shall not be construed as a waiver of any right to challenge the defects of the Goods which otherwise could have been be ascertained by means of a usual acceptance procedure.",docx,0.900
